2025-11-16T17:49:15.783924400 | Usuario: Cris | Lápices: 8 | Cuadernos: 7 | Bolígrafos: 4
2025-11-16T17:49:17.674759800 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:49:18.365336100 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:49:18.986953900 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:49:19.674529900 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:49:21.460775100 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:49:24.165110700 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:51:41.080844100 | Usuario: Cris | Lápices: 18 | Cuadernos: 17 | Bolígrafos: 17
2025-11-16T17:51:45.640860 | Usuario: Cris | Lápices: 0 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T17:53:00.468378700 | Usuario: Cris | Lápices: 8 | Cuadernos: 0 | Bolígrafos: 0
2025-11-16T18:01:26.593742700 | Usuario: Cris | Lápices: 13 | Cuadernos: 7 | Bolígrafos: 6
